Event,Magnitude,Fault Type,Distance,Depth,Station,Instrument,T* Class,P* Class,PGA,SA 0.01s,SA 0.02s,SA 0.03s,SA 0.05s,SA 0.07s,SA 0.1s,SA 0.15s,SA 0.2s,SA 0.25s, SA 0.3s,SA 0.4s,SA 0.5s,SA 0.75s,SA 1s,SA 1.5s,SA 2s,SA 3s,SA 4s,SA 5s,SA 7.5s,SA 10s
0711141540,7.7,0.0,192.48,33.6,ALHO,QDR,II,A,8.63E-02,8.70E-02,8.79E-02,8.94E-02,1.10E-01,1.44E-01,1.93E-01,2.93E-01,2.88E-01,1.83E-01,1.99E-01,1.33E-01,1.21E-01,1.57E-01,6.97E-02,2.93E-02,2.28E-02,8.06E-03,4.96E-03,2.68E-03,0.00E+00,0.00E+00  
1002270634,8.8,0.0,63.5,28.1,ANGO,QDR,III,C,8.18E-01,8.31E-01,8.41E-01,8.58E-01,1.05E+00,1.33E+00,1.68E+00,2.58E+00,2.85E+00,2.11E+00,1.47E+00,9.81E-01,8.58E-01,4.95E-01,3.16E-01,1.64E-01,1.23E-01,4.97E-02,5.77E-02,3.25E-02,0.00E+00,0.00E+00  
9801301216,7.0,0.0,53.84,41.4,ANTO,ETNA,I,None,4.71E-02,5.36E-02,5.69E-02,7.95E-02,1.18E-01,1.32E-01,1.38E-01,1.19E-01,1.15E-01,9.54E-02,7.03E-02,7.54E-02,5.57E-02,3.38E-02,3.08E-02,1.80E-02,1.54E-02,1.41E-02,5.39E-03,3.16E-03,0.00E+00,0.00E+00  
0711141540,7.7,0.0,58.29,33.6,ANTO,ETNA,I,None,1.16E-01,1.17E-01,1.18E-01,1.22E-01,1.48E-01,1.63E-01,2.39E-01,3.31E-01,3.39E-01,4.48E-01,3.31E-01,2.89E-01,2.59E-01,1.34E-01,1.28E-01,1.09E-01,3.81E-02,2.27E-02,1.11E-02,1.11E-02,0.00E+00,0.00E+00  
0507131206,5.7,1.0,106.04,79.3,ARIC,ETNA,III,B,5.14E-02,5.23E-02,5.42E-02,6.50E-02,1.29E-01,1.33E-01,1.76E-01,1.82E-01,1.60E-01,1.04E-01,8.26E-02,4.09E-02,2.38E-02,1.10E-02,6.13E-03,3.04E-03,1.39E-03,7.14E-04,5.54E-04,3.66E-04,1.53E-04,7.38E-05  
0911130305,6.5,0.0,115.99,36,ARIC,ETNA,III,B,5.51E-02,5.61E-02,5.78E-02,6.11E-02,8.83E-02,1.99E-01,1.74E-01,1.45E-01,1.64E-01,1.12E-01,8.38E-02,6.11E-02,5.03E-02,1.83E-02,1.28E-02,6.07E-03,3.19E-03,1.86E-03,1.22E-03,1.01E-03,4.12E-04,1.62E-04  
9911300401,6.6,1.0,186.64,124.6,ARIC,ETNA,III,B,6.45E-02,6.51E-02,6.60E-02,6.75E-02,1.19E-01,1.42E-01,1.46E-01,1.56E-01,1.18E-01,9.82E-02,7.29E-02,5.95E-02,5.23E-02,1.89E-02,8.17E-03,6.76E-03,4.39E-03,1.50E-03,8.53E-04,4.96E-04,2.24E-04,1.21E-04  
0506132244,7.8,1.0,234.81,105.5,ACEM,SMA-1,V,C,1.85E-01,1.86E-01,1.89E-01,1.91E-01,2.44E-01,3.26E-01,5.44E-01,4.39E-01,3.10E-01,2.88E-01,3.51E-01,2.96E-01,3.00E-01,2.57E-01,2.13E-01,1.20E-01,5.33E-02,3.19E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0506132244,7.8,1.0,234.04,105.5,ACRU,ETNA,III,A,1.92E-01,1.97E-01,2.23E-01,2.44E-01,3.12E-01,6.21E-01,5.51E-01,4.88E-01,3.89E-01,3.59E-01,2.49E-01,2.16E-01,1.72E-01,8.15E-02,5.99E-02,5.06E-02,3.66E-02,2.60E-02,1.54E-02,1.15E-02,5.42E-03,0.00E+00  
0507131206,5.7,1.0,106.65,79.3,ACRU,ETNA,III,A,6.02E-02,6.18E-02,6.73E-02,7.72E-02,1.15E-01,1.55E-01,1.97E-01,1.13E-01,9.16E-02,5.49E-02,5.00E-02,2.90E-02,2.13E-02,1.02E-02,7.74E-03,2.87E-03,1.63E-03,6.79E-04,5.47E-04,3.11E-04,1.29E-04,6.79E-05  
